Timestamp,Occupancy
2026-03-05 11:50:00.000,114,Real
2026-03-05 15:25:00.000,531,Real
2026-03-05 19:57:35.000,511,Estimated
2026-03-05 20:45:07.000,509,Estimated
2026-03-05 21:19:20.000,509,Estimated
2026-03-05 21:54:30.000,510,Estimated
2026-03-05 22:29:35.000,533,Estimated
2026-03-05 23:38:26.000,539,Estimated
2026-03-06 00:58:33.000,565,Estimated
2026-03-05 23:50:00.000,128,Real
2026-03-06 04:58:36.000,128,Estimated
2026-03-06 05:53:39.000,122,Estimated
2026-03-06 06:41:55.000,116,Estimated
2026-03-06 07:27:54.000,114,Estimated
2026-03-06 04:25:00.000,0,Real
2026-03-06 08:52:14.000,0,Estimated
2026-03-06 05:50:00.000,0,Real
2026-03-06 10:04:01.000,0,Estimated
2026-03-06 10:52:44.000,0,Estimated
2026-03-06 11:23:03.000,0,Estimated
2026-03-06 08:10:00.000,0,Real
2026-03-06 12:24:40.000,0,Estimated
2026-03-06 13:34:06.000,0,Estimated
2026-03-06 14:08:52.000,0,Estimated
2026-03-06 14:56:38.000,0,Estimated
2026-03-06 15:41:35.000,0,Estimated
2026-03-06 12:45:00.000,165,Real
2026-03-06 17:03:12.000,166,Estimated
2026-03-06 17:49:24.000,157,Estimated
2026-03-06 18:26:15.000,152,Estimated
2026-03-06 19:09:47.000,151,Estimated
2026-03-06 19:48:00.000,152,Estimated
2026-03-06 20:16:22.000,147,Estimated
2026-03-06 17:10:00.000,643,Real
2026-03-06 21:17:20.000,631,Estimated
2026-03-06 21:47:16.000,617,Estimated
2026-03-06 22:01:57.000,597,Estimated
2026-03-06 22:42:21.000,582,Estimated
2026-03-06 23:02:31.000,594,Estimated
2026-03-06 23:37:34.000,599,Estimated
2026-03-06 23:56:41.000,589,Estimated
2026-03-07 02:21:34.000,595,Estimated
2026-03-06 23:55:00.000,105,Real
2026-03-07 05:08:26.000,100,Estimated
2026-03-07 05:51:12.000,102,Estimated
2026-03-07 06:25:22.000,102,Estimated
2026-03-07 07:04:18.000,99,Estimated
2026-03-07 07:39:00.000,96,Estimated
2026-03-07 07:56:14.000,97,Estimated
2026-03-07 08:35:23.000,94,Estimated
2026-03-07 08:59:33.000,90,Estimated
2026-03-07 09:38:08.000,88,Estimated
2026-03-07 09:55:57.000,87,Estimated
2026-03-07 10:26:54.000,90,Estimated
2026-03-07 10:49:47.000,86,Estimated
2026-03-07 07:20:00.000,0,Real
2026-03-07 07:50:00.000,0,Real
2026-03-07 11:47:05.000,0,Estimated
2026-03-07 11:57:51.000,0,Estimated
2026-03-07 13:02:27.000,0,Estimated
2026-03-07 13:46:31.000,0,Estimated
2026-03-07 14:01:44.000,0,Estimated
2026-03-07 14:35:38.000,0,Estimated
2026-03-07 14:54:48.000,0,Estimated
2026-03-07 15:22:23.000,0,Estimated
2026-03-07 15:43:36.000,0,Estimated
2026-03-07 15:58:07.000,0,Estimated
2026-03-07 16:37:39.000,0,Estimated
2026-03-07 16:56:40.000,0,Estimated
2026-03-07 17:25:48.000,0,Estimated
2026-03-07 17:46:38.000,0,Estimated
2026-03-07 17:58:29.000,0,Estimated
2026-03-07 18:46:55.000,0,Estimated
2026-03-07 15:35:00.000,395,Real
2026-03-07 19:33:33.000,381,Estimated
2026-03-07 19:49:07.000,391,Estimated
2026-03-07 19:59:41.000,379,Estimated
2026-03-07 20:35:42.000,388,Estimated
2026-03-07 20:54:29.000,404,Estimated
2026-03-07 21:19:26.000,402,Estimated
2026-03-07 21:39:10.000,385,Estimated
2026-03-07 21:52:50.000,397,Estimated
2026-03-07 22:16:43.000,402,Estimated
2026-03-07 22:43:50.000,407,Estimated
2026-03-07 22:58:51.000,423,Estimated
2026-03-07 23:31:51.000,427,Estimated
2026-03-07 23:49:53.000,417,Estimated
2026-03-07 20:25:00.000,385,Real
2026-03-08 02:52:44.000,370,Estimated
2026-03-08 04:29:10.000,382,Estimated
2026-03-08 05:31:07.000,399,Estimated
2026-03-08 06:06:08.000,399,Estimated
2026-03-08 06:59:08.000,405,Estimated
2026-03-08 07:37:36.000,399,Estimated
2026-03-08 07:55:56.000,409,Estimated
2026-03-08 08:34:31.000,428,Estimated
2026-03-08 08:59:19.000,409,Estimated
2026-03-08 09:38:39.000,420,Estimated
2026-03-08 09:57:07.000,411,Estimated
2026-03-08 10:31:05.000,416,Estimated
2026-03-08 10:53:40.000,411,Estimated
2026-03-08 11:18:01.000,414,Estimated
2026-03-08 11:39:16.000,405,Estimated
2026-03-08 11:53:41.000,424,Estimated
2026-03-08 12:39:37.000,426,Estimated
2026-03-08 13:28:22.000,436,Estimated
2026-03-08 13:57:40.000,440,Estimated
2026-03-08 14:31:29.000,444,Estimated
2026-03-08 14:53:39.000,448,Estimated
2026-03-08 15:19:37.000,453,Estimated
2026-03-08 15:42:28.000,447,Estimated
2026-03-08 15:58:10.000,460,Estimated
2026-03-08 16:39:15.000,478,Estimated
2026-03-08 16:59:22.000,487,Estimated
2026-03-08 17:32:13.000,481,Estimated
2026-03-08 17:52:42.000,486,Estimated
2026-03-08 18:24:12.000,467,Estimated
2026-03-08 18:57:16.000,478,Estimated
2026-03-08 19:28:25.000,492,Estimated
2026-03-08 19:46:38.000,474,Estimated
2026-03-08 19:57:55.000,496,Estimated
2026-03-08 20:35:36.000,497,Estimated
2026-03-08 20:55:29.000,506,Estimated
2026-03-08 21:24:47.000,484,Estimated
2026-03-08 21:46:02.000,501,Estimated
2026-03-08 21:58:29.000,489,Estimated
2026-03-08 22:33:49.000,473,Estimated
2026-03-08 22:54:52.000,477,Estimated
2026-03-08 23:23:24.000,487,Estimated
2026-03-08 23:45:01.000,469,Estimated
2026-03-08 23:59:15.000,452,Estimated
2026-03-09 02:53:34.000,438,Estimated
2026-03-09 04:48:36.000,440,Estimated
2026-03-09 05:46:36.000,434,Estimated
2026-03-09 06:43:30.000,435,Estimated
2026-03-09 04:00:00.000,0,Real
2026-03-09 08:26:24.000,0,Estimated
2026-03-09 09:09:07.000,0,Estimated
2026-03-09 10:06:26.000,0,Estimated
2026-03-09 11:01:13.000,0,Estimated
2026-03-09 11:42:42.000,0,Estimated
2026-03-09 12:02:36.000,0,Estimated
2026-03-09 13:37:35.000,0,Estimated
2026-03-09 14:34:22.000,0,Estimated
2026-03-09 15:36:51.000,0,Estimated
2026-03-09 16:37:38.000,0,Estimated
2026-03-09 17:31:32.000,0,Estimated
2026-03-09 14:30:00.000,1054,Real
2026-03-09 15:30:00.000,1140,Real
2026-03-09 19:51:51.000,1187,Estimated
2026-03-09 20:23:18.000,1181,Estimated
2026-03-09 20:58:04.000,1196,Estimated
2026-03-09 18:05:00.000,985,Real
2026-03-09 18:20:00.000,935,Real
2026-03-09 19:00:00.000,824,Real
2026-03-09 23:01:24.000,818,Estimated
2026-03-09 23:37:52.000,814,Estimated
2026-03-09 23:55:53.000,832,Estimated
2026-03-10 02:09:20.000,805,Estimated
2026-03-10 04:18:06.000,825,Estimated
2026-03-10 05:28:25.000,852,Estimated
2026-03-10 06:06:48.000,820,Estimated
2026-03-10 07:07:04.000,811,Estimated
2026-03-10 07:53:18.000,839,Estimated
2026-03-10 08:34:55.000,852,Estimated
